
DOY, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
216, 4.000, 20.000, 23.000, 43.000, 41.000, 33.000, 25.000, 30.000, 11.000
217, 1.000, 13.000, 65.000, 20.000, 32.000, 27.000, 12.000, 21.000, 22.000
218, 12.000, 37.000, 44.000, 4.000, 43.000, 27.000, 5.000, 37.000, 13.000
219, 31.000, 48.000, 3.000, 4.000, 35.000, 25.000, -4.000, 22.000, 4.000
220, 23.000, 26.000, 8.000, -20.000, 25.000, 34.000, 3.000, 25.000, 21.000
221, 19.000, 26.000, 23.000, -11.000, 24.000, 55.000, 2.000, 11.000, 21.000
222, 14.000, 35.000, 13.000, 3.000, 34.000, 22.000, 61.000, 12.000, 11.000
223, 15.000, 40.000, 29.000, 45.000, 13.000, 12.000, 41.000, 23.000, 29.000
224, 15.000, -5.000, 37.000, 41.000, 13.000, 8.000, 45.000, 15.000, 39.000
225, 24.000, 34.000, 33.000, 30.000, 12.000, -2.000, 56.000, 3.000, 11.000
226, 18.000, 5.000, 55.000, 36.000, 10.000, -33.000, 36.000, 2.000, -18.000
227, 37.000, 16.000, 47.000, 13.000, 6.000, -10.000, 47.000, 6.000, -3.000
228, 61.000, 21.000, 43.000, 32.000, 17.000, -12.000, 15.000, 16.000, 12.000
229, 43.000, 17.000, 71.000, 29.000, 28.000, -3.000, -1.000, 19.000, 23.000
230, 39.000, 32.000, 70.000, 41.000, 43.000, -1.000, -4.000, 11.000, 25.000
231, 35.000, 26.000, 40.000, 89.000, 50.000, 16.000, 11.000, 13.000, 33.000
232, 13.000, 7.000, 23.000, 55.000, 17.000, 29.000, 6.000, 8.000, 16.000
233, 8.000, 13.000, 51.000, 26.000, 2.000, 26.000, 5.000, -24.000, 12.000
234, 55.000, 19.000, 73.000, 15.000, 16.000, 16.000, 17.000, -40.000, 7.000
235, 71.000, 29.000, 20.000, 40.000, 22.000, -22.000, 13.000, -10.000, -2.000
236, 25.000, 16.000, 28.000, 11.000, 13.000, -1.000, 34.000, 17.000, 10.000
237, 20.000, 2.000, 27.000, 0.000, 19.000, -10.000, 12.000, 22.000, 39.000
238, 29.000, 13.000, 25.000, 3.000, 20.000, -76.000, 1.000, 23.000, 44.000
239, 17.000, 29.000, 32.000, -2.000, 24.000, -21.000, -30.000, 24.000, 11.000
240, 19.000, 11.000, 42.000, -29.000, 10.000, -44.000, -42.000, 23.000, 43.000
241, 18.000, 2.000, -21.000, -126.000, -3.000, -110.000, -10.000, 29.000, -6.000
242, 16.000, 10.000, -19.000, -67.000, 8.000, -22.000, -5.000, 36.000, 0.000
243, 18.000, 19.000, -35.000, -46.000, -2.000, 1.000, 17.000, 17.000, -28.000
244, NA, NA, -17.000, NA, NA, NA, 24.000, NA, NA


Notes:
Columbia River DART
Generated 11 Apr 2019 14:03:48 PDT. DART Pacific Ocean Coastal Upwelling Index Graphics & Text www.cbr.washington.edu/dart/query/upwell_graph_text.

"DART Data Citation. Columbia River DART, Columbia Basin Research, University of Washington. (2019). Pacific Ocean Coastal Upwelling Index Graphics & Text. Available from http://www.cbr.washington.edu/dart/query/upwell_graph_text."
